HEADINGS=Rank,Name,EV,Win%,Tie%,Occur %,Cumulative%
54	K5s	0.11	53.83	3.91	0.30	28.80
55	J9s	0.11	54.11	3.10	0.30	29.11
56	Q9o	0.10	53.86	2.99	0.90	30.01
57	JTo	0.10	53.82	2.84	0.90	30.92
58	K7o	0.10	53.41	3.54	0.90	31.82
59	A2o	0.09	52.94	3.96	0.90	32.73
60	K4s	0.09	52.88	3.99	0.30	33.03
61	Q7s	0.08	52.52	3.55	0.30	33.33
62	K6o	0.08	52.29	3.85	0.90	34.23
63	K3s	0.08	52.07	3.96	0.30	34.53
64	T9s	0.08	52.37	3.30	0.30	34.84
65	J8s	0.08	52.31	3.40	0.30	35.14
66	33o	0.07	52.83	1.70	0.45	35.59
67	Q6s	0.07	51.67	3.86	0.30	35.89
68	Q8o	0.07	51.93	3.33	0.90	36.80
69	K5o	0.06	51.25	4.12	0.90	37.70
70	J9o	0.06	51.63	3.22	0.90	38.61
71	K2s	0.06	51.23	3.94	0.30	38.91
72	Q5s	0.05	50.71	4.11	0.30	39.21
73	T8s	0.04	50.50	3.65	0.30	39.51
74	K4o	0.04	50.22	4.20	0.90	40.42
75	J7s	0.04	50.45	3.74	0.30	40.72
76	Q4s	0.03	49.76	4.18	0.30	41.02
77	Q7o	0.03	49.90	3.72	0.90	41.93
78	T9o	0.03	49.81	3.43	0.90	42.83
79	J8o	0.02	49.71	3.55	0.90	43.74
80	K3o	0.02	49.33	4.18	0.90	44.64
81	Q6o	0.02	48.99	4.05	0.90	45.55
82	Q3s	0.02	48.93	4.16	0.30	45.85
83	98s	0.01	48.85	3.88	0.30	46.15
84	T7s	0.01	48.65	3.97	0.30	46.45
85	J6s	0.01	48.57	4.06	0.30	46.75
86	K2o	0.01	48.42	4.17	0.90	47.66
87	22o	0.00	49.38	1.89	0.45	48.11
88	Q2s	0.00	48.10	4.13	0.30	48.41
89	Q5o	0.00	47.95	4.32	0.90	49.32
90	J5s	0.00	47.82	4.33	0.30	49.62
91	T8o	0.00	47.81	3.80	0.90	50.52
92	J7o	0.00	47.72	3.91	0.90	51.43
93	Q4o	-0.01	46.92	4.40	0.90	52.33
94	97s	-0.01	46.99	4.25	0.30	52.63
95	J4s	-0.01	46.86	4.40	0.30	52.94
96	T6s	-0.02	46.80	4.28	0.30	53.24
97	J3s	-0.03	46.04	4.37	0.30	53.54
98	Q3o	-0.03	46.02	4.38	0.90	54.44
99	98o	-0.03	46.06	4.05	0.90	55.35
100	87s	-0.04	45.68	4.50	0.30	55.65
101	T7o	-0.04	45.82	4.15	0.90	56.56
102	J6o	-0.04	45.71	4.26	0.90	57.46
103	96s	-0.05	45.15	4.55	0.30	57.76
104	J2s	-0.05	45.20	4.35	0.30	58.06
105	Q2o	-0.05	45.10	4.37	0.90	58.97
106	T5s	-0.05	44.93	4.55	0.30	59.27
107	J5o	-0.05	44.90	4.55	0.90	60.18
108	T4s	-0.06	44.20	4.65	0.30	60.48
109	97o	-0.07	44.07	4.45	0.90	61.38
110	86s	-0.07	43.81	4.84	0.30	61.68
111	J4o	-0.07	43.86	4.63	0.90	62.59
112	T6o	-0.07	43.84	4.48	0.90	63.49
113	95s	-0.08	43.31	4.81	0.30	63.80
114	T3s	-0.08	43.37	4.62	0.30	64.10
115	76s	-0.09	42.82	5.08	0.30	64.40
116	J3o	-0.09	42.96	4.61	0.90	65.30
117	87o	-0.09	42.69	4.71	0.90	66.21
118	T2s	-0.10	42.54	4.59	0.30	66.51
119	85s	-0.10	41.99	5.10	0.30	66.81
120	96o	-0.11	42.10	4.77	0.90	67.72
121	J2o	-0.11	42.04	4.59	0.90	68.62
122	T5o	-0.11	41.85	4.78	0.90	69.53
123	94s	-0.12	41.40	4.90	0.30	69.83
124	75s	-0.12	40.97	5.39	0.30	70.13
125	T4o	-0.12	41.05	4.89	0.90	71.04
126	93s	-0.13	40.80	4.91	0.30	71.34
127	86o	-0.13	40.69	5.08	0.90	72.24
128	65s	-0.13	40.34	5.57	0.30	72.54
129	84s	-0.14	40.10	5.19	0.30	72.85
130	95o	-0.14	40.13	5.06	0.90	73.75
131	T3o	-0.14	40.15	4.87	0.90	74.66
132	92s	-0.15	39.97	4.88	0.30	74.96
133	76o	-0.15	39.65	5.33	0.90	75.86
134	74s	-0.16	39.10	5.48	0.30	76.16
135	T2o	-0.16	39.23	4.85	0.90	77.07
136	54s	-0.17	38.53	5.84	0.30	77.37
137	85o	-0.17	38.74	5.37	0.90	78.28
138	64s	-0.17	38.48	5.70	0.30	78.58
139	83s	-0.18	38.28	5.18	0.30	78.88
140	94o	-0.18	38.08	5.17	0.90	79.78
141	75o	-0.18	37.67	5.67	0.90	80.69
142	82s	-0.19	37.67	5.18	0.30	80.99
143	73s	-0.19	37.30	5.46	0.30	81.29
144	93o	-0.19	37.42	5.18	0.90	82.20
145	65o	-0.20	37.01	5.86	0.90	83.10
146	53s	-0.20	36.75	5.86	0.30	83.40
147	63s	-0.20	36.68	5.69	0.30	83.71
148	84o	-0.21	36.70	5.47	0.90	84.61
149	92o	-0.21	36.51	5.16	0.90	85.52
150	43s	-0.22	35.72	5.82	0.30	85.82
151	74o	-0.22	35.66	5.77	0.90	86.72
152	72s	-0.23	35.43	5.43	0.30	87.02
153	54o	-0.23	35.07	6.16	0.90	87.93
154	64o	-0.23	35.00	6.01	0.90	88.83
155	52s	-0.24	34.92	5.83	0.30	89.14
156	62s	-0.24	34.83	5.66	0.30	89.44
157	83o	-0.25	34.74	5.46	0.90	90.34
158	42s	-0.26	33.91	5.82	0.30	90.64
159	82o	-0.26	34.08	5.48	0.90	91.55
160	73o	-0.26	33.71	5.76	0.90	92.45
161	53o	-0.27	33.16	6.19	0.90	93.36
162	63o	-0.27	33.06	6.01	0.90	94.26
163	32s	-0.28	33.09	5.78	0.30	94.57
164	43o	-0.29	32.06	6.15	0.90	95.47
165	72o	-0.30	31.71	5.74	0.90	96.38
166	52o	-0.31	31.19	6.18	0.90	97.28
167	62o	-0.31	31.07	5.99	0.90	98.19
168	42o	-0.33	30.11	6.16	0.90	99.09
169	32o	-0.35	29.23	6.12	0.90	100.00
